年,週,都道府県,エボラ出血熱_報告,エボラ出血熱_累積,クリミア・コンゴ出血熱_報告,クリミア・コンゴ出血熱_累積,痘そう_報告,痘そう_累積,南米出血熱_報告,南米出血熱_累積,ペスト_報告,ペスト_累積,マールブルグ病_報告,マールブルグ病_累積,ラッサ熱_報告,ラッサ熱_累積,急性灰白髄炎_報告,急性灰白髄炎_累積,結核_報告,結核_累積,ジフテリア_報告,ジフテリア_累積,重症急性呼吸器症候群_報告,重症急性呼吸器症候群_累積,中東呼吸器症候群_報告,中東呼吸器症候群_累積,鳥インフルエンザ（Ｈ５Ｎ１）_報告,鳥インフルエンザ（Ｈ５Ｎ１）_累積,鳥インフルエンザ（Ｈ７Ｎ９）_報告,鳥インフルエンザ（Ｈ７Ｎ９）_累積,コレラ_報告,コレラ_累積,細菌性赤痢_報告,細菌性赤痢_累積,腸管出血性大腸菌感染症_報告,腸管出血性大腸菌感染症_累積,腸チフス_報告,腸チフス_累積,パラチフス_報告,パラチフス_累積,Ｅ型肝炎_報告,Ｅ型肝炎_累積,ウエストナイル熱_報告,ウエストナイル熱_累積,Ａ型肝炎_報告,Ａ型肝炎_累積,エキノコックス症_報告,エキノコックス症_累積,黄熱_報告,黄熱_累積,オウム病_報告,オウム病_累積,オムスク出血熱_報告,オムスク出血熱_累積,回帰熱_報告,回帰熱_累積,キャサヌル森林病_報告,キャサヌル森林病_累積,Ｑ熱_報告,Ｑ熱_累積,狂犬病_報告,狂犬病_累積,コクシジオイデス症_報告,コクシジオイデス症_累積,サル痘_報告,サル痘_累積,重症熱性血小板減少症候群_報告,重症熱性血小板減少症候群_累積,腎症候性出血熱_報告,腎症候性出血熱_累積,西部ウマ脳炎_報告,西部ウマ脳炎_累積,ダニ媒介脳炎_報告,ダニ媒介脳炎_累積,炭疽_報告,炭疽_累積,チクングニア熱_報告,チクングニア熱_累積,つつが虫病_報告,つつが虫病_累積,デング熱_報告,デング熱_累積,東部ウマ脳炎_報告,東部ウマ脳炎_累積,鳥インフルエンザ(Ｈ５Ｎ１を除く）_報告,鳥インフルエンザ(Ｈ５Ｎ１を除く）_累積,ニパウイルス感染症_報告,ニパウイルス感染症_累積,日本紅斑熱_報告,日本紅斑熱_累積,日本脳炎_報告,日本脳炎_累積,ハンタウイルス肺症候群_報告,ハンタウイルス肺症候群_累積,Ｂウイルス病_報告,Ｂウイルス病_累積,鼻疽_報告,鼻疽_累積,ブルセラ症_報告,ブルセラ症_累積,ベネズエラウマ脳炎_報告,ベネズエラウマ脳炎_累積,ヘンドラウイルス感染症_報告,ヘンドラウイルス感染症_累積,発しんチフス_報告,発しんチフス_累積,ボツリヌス症_報告,ボツリヌス症_累積,マラリア_報告,マラリア_累積,野兎病_報告,野兎病_累積,ライム病_報告,ライム病_累積,リッサウイルス感染症_報告,リッサウイルス感染症_累積,リフトバレー熱_報告,リフトバレー熱_累積,類鼻疽_報告,類鼻疽_累積,レジオネラ症_報告,レジオネラ症_累積,レプトスピラ症_報告,レプトスピラ症_累積,ロッキー山紅斑熱_報告,ロッキー山紅斑熱_累積,アメーバ赤痢_報告,アメーバ赤痢_累積,ウイルス性肝炎_報告,ウイルス性肝炎_累積,カルバペネム耐性腸内細菌感染症_報告,カルバペネム耐性腸内細菌感染症_累積,急性脳炎_報告,急性脳炎_累積,クリプトスポリジウム症_報告,クリプトスポリジウム症_累積,クロイツフェルト・ヤコブ病_報告,クロイツフェルト・ヤコブ病_累積,劇症型溶血性レンサ球菌感染症_報告,劇症型溶血性レンサ球菌感染症_累積,後天性免疫不全症候群_報告,後天性免疫不全症候群_累積,ジアルジア症_報告,ジアルジア症_累積,侵襲性インフルエンザ菌感染症_報告,侵襲性インフルエンザ菌感染症_累積,侵襲性髄膜炎菌感染症_報告,侵襲性髄膜炎菌感染症_累積,侵襲性肺炎球菌感染症_報告,侵襲性肺炎球菌感染症_累積,水痘（入院例）_報告,水痘（入院例）_累積,先天性風しん症候群_報告,先天性風しん症候群_累積,梅毒_報告,梅毒_累積,播種性クリプトコックス症_報告,播種性クリプトコックス症_累積,破傷風_報告,破傷風_累積,バンコマイシン耐性黄色ブドウ球菌感染症_報告,バンコマイシン耐性黄色ブドウ球菌感染症_累積,バンコマイシン耐性腸球菌感染症_報告,バンコマイシン耐性腸球菌感染症_累積,風しん_報告,風しん_累積,麻しん_報告,麻しん_累積,薬剤耐性アシネトバクター感染症_報告,薬剤耐性アシネトバクター感染症_累積
2015,49,総数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,22255,0,0,0,0,0,0,0,0,0,0,0,6,0,149,29,3481,1,34,2,31,2,181,0,0,4,231,0,20,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,3,0,0,2,59,0,0,0,0,0,0,0,0,0,17,36,316,0,274,0,0,0,0,0,0,0,200,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,39,0,2,0,10,0,0,0,0,0,1,37,1500,1,30,0,0,13,1012,1,236,15,1546,8,462,0,14,4,170,6,399,19,1306,0,73,4,221,0,27,31,2095,7,278,0,0,44,2412,2,110,0,110,0,0,0,57,3,155,0,34,0,32
2015,49,北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,773,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,194,0,0,0,0,1,37,0,0,0,3,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,36,0,0,0,0,0,36,0,2,0,45,2,18,0,5,0,11,1,8,0,39,0,3,1,10,0,0,1,85,0,8,0,0,1,54,0,2,0,12,0,0,0,0,0,4,0,1,0,0
2015,49,青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,1,0,16,0,2,0,0,0,2,0,3,1,3,0,0,0,3,0,0,1,18,0,2,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2015,49,岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,9,0,1,0,2,0,4,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,14,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2015,49,宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,314,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,127,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,1,22,0,8,0,18,0,0,0,0,0,4,0,2,0,10,0,1,0,6,0,0,1,44,0,6,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,49,秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,3,0,6,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2015,49,山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,6,0,0,0,14,0,3,0,0,0,0,0,4,0,2,0,0,0,2,0,0,1,33,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015,49,福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,31,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,21,0,1,0,33,0,3,0,0,0,1,0,2,0,7,0,0,1,5,0,0,0,28,0,0,0,0,0,20,0,1,0,1,0,0,0,1,0,0,0,0,0,1
2015,49,茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,470,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,59,0,0,0,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,63,0,0,0,0,0,17,0,3,1,7,0,22,0,0,0,3,0,6,0,17,0,0,0,5,0,0,0,21,0,3,0,0,1,43,0,1,0,7,0,0,0,0,0,2,0,0,0,3
2015,49,栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,289,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,48,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,10,0,0,0,13,0,14,0,0,0,1,0,3,0,9,0,0,0,0,0,0,0,22,0,2,0,0,1,26,0,4,0,1,0,0,0,0,0,2,0,1,0,0
