報告数・累積報告数、疾病・都道府県別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年22週(05月26日～06月01日),2014年06月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エボラ出血熱,,クリミア・コンゴ出血熱,,痘そう,,南米出血熱,,ペスト,,マールブルグ病,,ラッサ熱,,急性灰白髄炎,,結核,,ジフテリア,,重症急性呼吸器症候群,,鳥インフルエンザ（Ｈ５Ｎ１）,,鳥インフルエンザ（Ｈ７Ｎ９）,,コレラ,,細菌性赤痢,,腸管出血性大腸菌感染症,,腸チフス,,パラチフス,,Ｅ型肝炎,,ウエストナイル熱,,Ａ型肝炎,,エキノコックス症,,黄熱,,オウム病,,オムスク出血熱,,回帰熱,,キャサヌル森林病,,Ｑ熱,,狂犬病,,コクシジオイデス症,,サル痘,,重症熱性血小板減少症候群,,腎症候性出血熱,,西部ウマ脳炎,,ダニ媒介脳炎,,炭疽,,チクングニア熱,,つつが虫病,,デング熱,,東部ウマ脳炎,,鳥インフルエンザ(Ｈ５Ｎ１を除く）,,ニパウイルス感染症,,日本紅斑熱,,日本脳炎,,ハンタウイルス肺症候群,,Ｂウイルス病,,鼻疽,,ブルセラ症,,ベネズエラウマ脳炎,,ヘンドラウイルス感染症,,発しんチフス,,ボツリヌス症,,マラリア,,野兎病,,ライム病,,リッサウイルス感染症,,リフトバレー熱,,類鼻疽,,レジオネラ症,,レプトスピラ症,,ロッキー山紅斑熱,,アメーバ赤痢,,ウイルス性肝炎,,急性脳炎,,クリプトスポリジウム症,,クロイツフェルト・ヤコブ病,,劇症型溶血性レンサ球菌感染症,,後天性免疫不全症候群,,ジアルジア症,,侵襲性インフルエンザ菌感染症,,侵襲性髄膜炎菌感染症,,侵襲性肺炎球菌感染症,,先天性風しん症候群,,梅毒,,破傷風,,バンコマイシン耐性黄色ブドウ球菌感染症,,バンコマイシン耐性腸球菌感染症,,風しん,,麻しん,
,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積
総数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,9780,0,0,0,0,0,0,0,0,0,0,2,44,32,433,2,19,0,6,1,59,0,0,1,342,0,4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,4,7,66,3,68,0,0,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,20,379,0,6,0,0,15,438,0,102,4,213,0,9,0,64,5,107,18,563,2,28,3,92,0,16,28,932,0,8,21,586,2,40,0,0,2,22,4,207,5,352
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,1,0,9,0,0,0,4,0,5,0,12,0,1,0,1,0,0,0,21,0,0,0,18,0,2,0,0,0,0,0,3,0,12
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4,0,0,0,3,1,1,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,99,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,2,0,0,0,0,0,1,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,12,0,1,0,2,0,1,0,0,0,1,0,5,0,1,0,2,0,1,2,33,0,0,0,8,0,2,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,130,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,12,0,1,0,1,0,1,0,0,0,0,0,1,0,3
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,203,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,1,0,17,0,0,0,2,1,3,0,9,0,0,0,3,0,1,0,21,0,0,0,7,0,1,0,0,0,0,0,3,0,3
